aver sete,to be thirsty
il cuoco,cook / chef
dolce,sweet
la forchetta,fork
il latte,milk
il pranzo,lunch
caldissimo,hot
la carne,meat
il coltello,knife
far da mangiare,to cook
lavare i piatti,to wash the dishes
il pesce,fish
amaro,bitter
bere,to drink
il bicchiere,glass
la bottiglia,bottle
il cucchiaio,spoon
freddo,cold
il burro,butter
il formaggio,cheese
la frutta,fruit
il pollo,chicken
il sale,salt
la torta,cake
il pane,bread
le pentole,pots and pans
il pepe,pepper
la verdura,vegetables
il vino,wine
le uova,eggs
