il teatro,theater / theatre
gli attori,actors
il cantante,singer
la macchina fotografica,camera
il pubblico,audience
registrare,to record
lo spettacolo,show
andare a ballare,to go dancing
il balletto,ballet
divertirsi,enjoy oneself; have fun
il fotografo,photographer
il quadro,painting
suonare,to play
andare in palestra,to go to the gym
l’atleta,athlete
il calcio,soccer
fare jogging,to run
la gara,race
il pallone,ball
l’allenatore,coach
l’arbitro,referee/umpire
fare pari,to tie
giocare a,to play
la partita,game / match
i tifosi,fans
