accusare,to charge
commettere un omicidio,to murder
denunciare,to turn in
il ladro,thief
la pornografia,pornography
la vittima,victim
l’avvocato,lawyer
difendere,to defend
derubare,to rob
il giudice,judge
le molestie sessuali,sexual harrassment
stuprare,to rape
arrestare,to arrest
assolvere,to acquit
il carcere,jail
la giuria,jury
il poliziotto,police officer
il processo,trial
il genocidio,genocide
i diritti umani,human rights
fare la guerra,to wage war
fare la pace,to make peace
il terrorista,terrorist
torturare,torture
arrendersi,to surrender
l’asilo politico,political asylum
la bomba,bomb
la pistola,gun
i soldati,soldiers
uccidere,to kill
