see you tomorrow	a domani
good-bye (pol.)	arrivederLa
well	bene
good morning, good day, hello	buongiorno
see you	ci vediamo
how	come
How’s it going?	Come va?
tomorrow	domani
woman	donna
and	e
thank you	grazie
you (pol.)	Lei
very	molto
yes	sì
Mrs., madam, lady	signora
Mr., sir, gentleman	signore
man	uomo
see you soon	a presto
very well	benissimo
certainly, of course	certo
hi, bye (fam.)	ciao
How are you? (fam.)	Come stai?
bad	male
not	non
not bad	non c’è male
soon, early	presto
to stay, to be	stare
you (fam.)	tu
American	americano
also, too	anche (anche io <em>or</em> anch’io)
delighted	lieto
my name is	mi chiamo
to be	essere
I	io
Italian	italiano
let me introduce myself	mi presento
a pleasure to make your acquaintance	piacere di fare la Sua conoscenza
What’s your name?	Come ti chiami?
a pleasure	piacere
a pleasure to know you	piacere di conoscerti (koh-nóh-sher-tee)
I have to go	devo andare
true, right	vero
at, to	a
to the right	a destra
where	dove
two	due
block	isolato
can you help me (pol.)	mi può aiutare
not	non
no problem	non c’è problema
here	qui
excuse me (pol.)	scusi
Miss, Ms.	signorina
street	via
what	che (cosa)
who	chi
how	come
where	dove
why	perché
What is it?	Che (cosa) è?
Who is it?	Chi è?
How are you?	Come stai?
Where’s National Street?	Dov’è via Nazionale?
adventure	avventura
customer	cliente
clerk	commesso (-a)
to read	da leggere (léh-jjeh-reh)
of	di
here is	ecco
I need (I have need of)	ho bisogno di
in	in
book	libro
a lot	molto
new	nuovo
because	perché
to like, to be pleasing to	piacere
to take	prendere (préhn-deh-reh)
novel	romanzo
OK	va bene
store window	vetrina
at my house	a casa mia
anything else, other	altro
to be hungry	avere fame
coffee place, bar	bar
bartender	barista
coffee	caffè
house	casa
customer	cliente
to buy	comprare
croissant	cornetto
to take out	da portare via
espresso	espresso
to be there	esserci
party	festa
bun sandwich	panino
please	per favore
you’re welcome	prego
tonight	stasera
right away	subito
I would like	vorrei
1	uno
2	due
3	tre
4	quattro
5	cinque
6	sei
7	sette
8	otto
9	nove
10	dieci
then, thus	allora
beautiful	bello
commemorative	commemorativo
to cost	costare
euro	euro
stamp	francobollo
I’ll take . . . of them	ne prendo
no	no
each, every	ogni
how much	quanto
only	solo
11	undici
12	dodici
13	tredici
14	quattordici
15	quindici
16	sedici
17	diciassette
18	diciotto
19	diciannove
20	venti
21	ventuno
22	ventidue
23	ventitré
24	ventiquattro
25	venticinque
26	ventisei
27	ventisette
28	ventotto
29	ventinove
30	trenta
40	quaranta
50	cinquanta
60	sessanta
70	settanta
80	ottanta
90	novanta
100	 cento
200	 duecento
300	 trecento
1000	mille
2000	duemila
3000	tremila
1.000.000	un milione
2.000.000	due milioni
let’s go	andiamo
appointment, date	appuntamento
What time is it?	Che ore sono?
with	con
on the dot	in punto
half	mezzo
our	nostro
hour, time	ora
precise (precisely)	preciso
late	tardi
around, nearly	circa
to begin, to start	cominciare
tomorrow	domani
to finish	finire
tour	giro
guide	guida
today	oggi
when	quando
same	stesso
to return, to come back	tornare
too, too much	troppo
tourist (male or female)	turista
still, yet	ancora
year	anno
to be…old	avere… anni
little boy/girl, child	bambino/bambina
Happy birthday!	Buon compleanno!
birthday	compleanno
to make a mistake	sbagliare
if	se
to seem	sembrare
your (fam.)	tuo
January	gennaio
February	febbraio
March	marzo
April	aprile
May	maggio
June	giugno
July	luglio
August	agosto
September	settembre
October	ottobre
November	novembre
December 	dicembre
July 4	il quattro luglio
August 10	il dieci agosto
May 3	il tre maggio
December 25	il venticinque dicembre
March 8	l’otto marzo
July 1	il primo luglio
dear	caro (-a)
wife	moglie
to forget	dimenticare
to remember	ricordare
to be born	essere nato (-a)
always	sempre
but	ma
terrible	terribile
husband	marito
everything	tutto
Thank goodness!	Meno male!
Monday	lunedì
Tuesday	martedì
Wednesday	mercoledì
Thursday	giovedì
Friday	venerdì
Saturday	sabato
Sunday	domenica
to live, to dwell	abitare
now	adesso
that, which, who	che
to be married	essere sposato (-a)
liberty	libertà
excellent	ottimo (óh-teeh-moh)
for, through	per
someone	qualcuno
near	vicino
from (for)	da
brother	fratello
next	prossimo
to know	sapere
sure	sicuro
often	spesso
to stay, to be	stare
everyone	tutti
to see	vedere
to come	venire
he/she will come	verrà
time (occurrence)	volta
to go	andare
to cross	attraversare
to tell, to say	dire
straight ahead	diritto
to have to, must	dovere
to turn	girare
there	lì
then	poi
traffic lights	semaforo
road, street	strada
to go there	andarci
automatic teller	bancomat (m.)
church	chiesa
in front	davanti
to do, to make	fare
to be able to, can	potere
just, right	proprio
a bit	un po’
traffic policeman	vigile (m.)
it doesn’t matter	non importa
to speak	parlare
more	più
Hello!	Pronto!
to phone	telefonare
to want	volere
cell phone	cellulare
to call	chiamare
fine, I agree	d’accordo
device	dispositivo
to send	mandare
to send me	mandarmi 
better	meglio
text, message	messaggino
mobile	mobile
text message	SMS
to wait for	aspettare
blond	biondo
dark blue	blu
dark-haired	bruno
fussy	fastidioso
to look at, to watch	guardare
intelligent	intelligente
eye	occhio
to go ahead and try	provarci
to try	provare
