see you tomorrow	a domani
good-bye (pol.)	arrivederLa
well	bene
good morning, good day, hello	buongiorno
see you	ci vediamo
how	come
How’s it going?	Come va?
tomorrow	domani
woman	donna
and	e
thank you	grazie
you (pol.)	Lei
very	molto
yes	sì
Mrs., madam, lady	signora
Mr., sir, gentleman	signore
man	uomo
see you soon	a presto
very well	benissimo
certainly, of course	certo
hi, bye (fam.)	ciao
How are you? (fam.)	Come stai?
bad	male
not	non
not bad	non c’è male
soon, early	presto
to stay, to be	stare
you (fam.)	tu
American	americano
also, too	anche (anche io <em>or</em> anch’io)
delighted	lieto
my name is	mi chiamo
to be	essere
I	io
Italian	italiano
let me introduce myself	mi presento
a pleasure to make your acquaintance	piacere di fare la Sua conoscenza
What’s your name?	Come ti chiami?
a pleasure	piacere
a pleasure to know you	piacere di conoscerti (koh-nóh-sher-tee)
I have to go	devo andare
true, right	vero
at, to	a
to the right	a destra
where	dove
two	due
block	isolato
can you help me (pol.)	mi può aiutare
not	non
no problem	non c’è problema
here	qui
excuse me (pol.)	scusi
Miss, Ms.	signorina
street	via
what	che (cosa)
who	chi
how	come
where	dove
why	perché
What is it?	Che (cosa) è?
Who is it?	Chi è?
How are you?	Come stai?
Where’s National Street?	Dov’è via Nazionale?
adventure	avventura
customer	cliente
clerk	commesso (-a)
to read	da leggere (léh-jjeh-reh)
of	di
here is	ecco
I need (I have need of)	ho bisogno di
in	in
book	libro
a lot	molto
new	nuovo
because	perché
to like, to be pleasing to	piacere
to take	prendere (préhn-deh-reh)
novel	romanzo
OK	va bene
store window	vetrina
