to be enough	bastare
kilogram	chilo
to desire, to want	desiderare
dozen	dozzina
bean	fagiolo
strawberry	fragola
fresh	fresco
apple	mela
pear	pera
peach	pesca
pea	pisello
grocery/food store	il negozio di generi alimentari
bakery	il panificio
market	il mercato
supermarket	il supermercato
delicatessen	la pizzicheria (peeh-tseeh-keh-réeh-ah)
slice	fetta
cheese	formaggio
prosciutto ham	prosciutto
salami	salame (m.)
in style, fashionable	alla moda
changing room	camerino
pants	5
jacket	giacca
together	insieme
to wear	portare
to try on	provarsi (provare + si)
size	taglia
orange	arancione (inv.)
blue	azzurro
white	bianco
blue	blu (inv.)
yellow	giallo
gray	grigio
brown	marrone (inv.)
black	nero
red	rosso
green	verde
purple	viola (inv.)
dress	il vestito
skirt	la gonna
blouse	la camicetta
belt	la cintura
sweater	la maglia
shirt	la camicia
tie	la cravatta
suit	l’abito
purse	la borsa
on sale	in saldo
shoe	scarpa
to look good on	stare bene
boot	stivale
account	conto
money	denaro
to deposit	depositare
to sign	firmare
form	modulo
to withdraw	prelevare
to need	avere bisogno di
bill	biglietto
to change, to exchange	cambiare
coin, small change	spicciolo
small	taglio piccolo
