happy, content	contento
cold	freddo
winter	inverno
sea	mare (m.)
mountain	montagna
to snow	nevicare
sun	sole (m.)
to be windy	tirare vento
wind	vento
never	non… mai
no more, no longer	non… più
nothing	non… niente
nothing	non… nulla
neither	non… neanche
no one	non… nessuno
neither . . . nor	non… né… né
to feel like	avere voglia di
hot, warm	caldo
cinema, movies	cinema (m., inv.)
strong, hard	forte
to rain	piovere
to go out	uscire (ess.)
to love	amare
love	amore (m.)
autumn, fall	autunno
summer	estate (f.)
plant	pianta
spring	primavera
romantic	romantico
to blossom	sbocciare
to fall	cadere (ess.)
leaf	foglia
instead	invece
snow	neve (f.)
to hate	odiare
to grow	crescere
feast, holiday, party	festa
Christmas	Natale (m.)
of Christmas	natalizio
Easter	Pasqua
weather	tempo
on vacation, off work	in ferie
unfortunately	purtroppo
vacation	vacanza
