round-trip	andata e ritorno
ticket agent	bigliettaio (-a)
track	binario
class	classe (f.)
to buy a (travel) ticket	fare il biglietto
to leave, to depart	partire (ess.)
passenger	passeggero (-a)
train	treno
bus	autobus (m., inv.)
newsstand	edicola 
stop	fermata
early	in anticipo 
on time	in orario
minute	minuto
time	tempo
to give	dare
to look onto	dare su
dollar	dollaro
single	singolo
hotel	albergo
to stay calm	calmarsi
breakfast	colazione (f.)
to work (function)	funzionare
almost	quasi
discount	sconto
dirty	sporco
boarding pass	carta d’imbarco
down there	laggiù
Thank goodness!	Meno male!
sign	segnale (m.)
within	tra
gate, exit	uscita
flight	volo
fasten	allacciare
to wish	augurare
seat belt	cintura di sicurezza
captain	comandante (m./f.)
completed	compiuto
takeoff	decollo
crew	equipaggio
to be asked	essere pregato
to be expected	essere previsto
entire	intero
meal	pasto
to serve	servire
trip	viaggio
