son<br><br>sons	figlio<br><br>figli
cat<br><br>cats	gatto<br><br>gatti
book<br><br>books	libro<br><br>libri
boy<br><br>boys	ragazzo<br><br>ragazzi
uncle<br><br>uncles	zio<br><br>zii
house<br><br>houses	casa<br><br>case
daughter<br><br>daughters	figlia<br><br>figlie
pen<br><br>pens	penna<br><br>penne
girl<br><br>girls	ragazza<br><br>ragazze
aunt<br><br>aunts	zia<br><br>zie
(the) dog<br><br>(the) dogs	(il) cane<br><br>(i) cani
(the) cell phone<br><br>(the) cell phones	(il) cellulare<br><br>(i) cellulari
(the) father<br><br>(the) fathers	(il) padre<br><br>(i) padri
(the) laptop<br><br>(the) laptops	(il) portatile<br><br>(i) portatili
(the) mother<br><br>(the) mothers	(la) madre<br><br>(le) madri
(the) nation<br><br>(the) nations	(la) nazione<br><br>(le) nazioni
(the) night<br><br>(the) nights	(la) notte<br><br>(le) notti
(the) wall (partition)<br><br> (the) walls (partitions)	(la) parete<br><br>(le) pareti
the (train) station	la stazione<br><br>
the region	la regione<br><br>
the meeting	la riunione<br><br>
year	anno
day	giorno
dress, suit	vestito
house	casa
thing	cosa
necktie	cravatta
woman	donna
skirt	gonna
car	macchina
key	chiave (f.)
surname, family name	cognome (m.)
newspaper	giornale (m.)
name	 nome (m.)
the pig<br><br>the pigs	il porco<br><br>i porci
the fig<br><br>the figs	il fico<br><br>i fichi
the mayor<br><br>the mayors	il sindaco<br><br>i sindaci
the monk<br><br>the monks	il monaco<br><br>i monaci
meat	la carne
rice	il riso
milk	il latte
salt	il sale
bread	il pane
grapes	l’uva
pepper	il pepe
Mr.; Mrs./Ms., Miss	signore signora, signorina
Doctor	dottore dottoressa
Professor	professore professoressa
Lawyer	avvocato avvocato
Draft sperson	geometra geometra
Accountant (Bookkeeper)	ragioniere ragioniera
Architect	architetto architetto
