the male musician<br><br>the female musician	il musicista<br><br>la musicista
the male dentist<br><br>the female dentist	il dentista<br><br>la dentista
the male pianist<br><br>the female pianist	il pianista<br><br>la pianista
the male pharmacist<br><br>the female pharmacist	il farmacista<br><br>la farmacista
the male musician<br><br>the male musicians/the musicians (general)	il musicista<br><br>i musicisti
the male dentist<br><br>the male dentists/the dentists (general)	il dentista<br><br>i dentisti
the female musician<br><br>the female musicians	la musicista<br><br>le musiciste
the female dentist<br><br>the female dentists	la dentista<br><br>le dentiste
the male actor<br><br>the female actor	l’attore<br><br>l’attrice
the male painter<br><br>the female painter	il pittore<br><br>la pittrice
the male author<br><br>the female author	l’autore<br><br>l’autrice
the male sculptor<br><br>the female sculptor	lo scultore<br><br>la scultrice
the male doctor<br><br>the female doctor	il dottore<br><br>la dottoressa
the male elephant<br><br>the female elephant	l’elefante<br><br>l’elefantessa
the lion<br><br>the lioness	il leone<br><br>la leonessa
the male professor<br><br>the female professor	il professore<br><br>la professoressa
the male student<br><br>the female student	lo studente<br><br>la studentessa
male or female architect	l’architetto
male or female lawyer	l’avvocato
male or female sculptor	lo scultore
the orange tree<br><br>the orange	l’arancio<br><br>l’arancia
the cherry tree<br><br>the cherry	il ciliegio<br><br>la ciliegia
the apple tree<br><br>the apple	il melo<br><br>la mela
the pear tree<br><br>the pear	il pero<br><br>la pera
the peach tree<br><br>the peach	il pesco<br><br>la pesca
the lemon (tree and fruit)	Il limone
the fig (tree and fruit)	il fico
the mandarin (tree and fruit)	il mandarino
the diagram	il diagramma
the drama	il dramma
the problem	il problema
the program	il programma
the system	il sistema
the theorem	il teorema
the analysis	l’analisi
the crisis	la crisi
the hypothesis	l’ipotesi
the thesis	la tesi
the coffee	il caffè
Monday	il lunedì
the taxi	il tassì
the tea	il tè
the city	la città
youth	la gioventù
the university	 l’università
virtue	la virtù
dad	Il papa
menu	il menu
meat sauce	il ragù
the coffee<br><br> the coffees	il caffè<br><br>i caffè
the city<br><br> the cities	la città<br><br>le città
the taxi<br><br> the taxis	il tassì<br><br>i tassì
the tea<br><br> the teas	il tè<br><br>i tè
the university<br><br> the universities	l’università<br><br>le università
the photograph<br><br>the photo	la fotografia<br><br>la foto
the motorcycle<br><br>the motorcycle	la motocicletta<br><br>la moto
the radio transmission<br><br>the radio	la radiofonia<br><br>la radio
the tea<br><br> the teas	il tè<br><br>i tè
the movie theater<br><br> the movies	il cinematografo<br><br>il cinema
the movie theater<br><br>the movie theaters	il cinema<br><br>i cinema
the photo<br><br>the photos	la foto<br><br>le foto
the motorcycle<br><br>the motorcycles	la moto<br><br>le moto
the radio<br><br>the radios	la radio<br><br>le radio
the bus	l’autobus
the car horn	il clacson
the computer	il computer
the sport	lo sport
tennis	il tennis
the streetcar, trolley	il tram
chatroom	la chat
e-mail, e-mail message	la mail (l’e-mail)
instant message	l’SMS
the car horn<br><br>the car horns	il clacson<br><br>i clacson
the computer<br><br>the computers	il computer<br><br>i computer
the e-mail<br><br>the e-mails	la mail<br><br>le mail
the sports<br><br>the sports	lo sport<br><br>gli sport
arm arms	il braccio<br><br>le braccia
the finger<br><br>the fingers	il dito<br><br>le dita
the knee<br><br>the knees	il ginocchio<br><br>le ginocchia
the lip<br><br>the lips	il labbro<br><br>le labbra
the pair<br><br>the pairs	il paio<br><br>le paia
the ox	il bue
the hand	la mano
the planet	il pianeta
the money order	il vaglia
the ox<br><br>the oxen	il bue<br><br>i buoi
the hand<br><br>the hands	la mano<br><br>le mani
the planet<br><br>the planets	il pianeta<br><br>i pianeti
the money order<br><br>the money orders	il vaglia<br><br>i vaglia
boy<br><br>small boy	ragazzo<br><br>ragazzino
girl<br><br>little girl	ragazza<br><br>ragazzina
rooster<br><br>little rooster	gallo<br><br>galletto
donkey<br><br>small donkey	asino<br><br>asinello
opera, libretto,  bankbook	il libretto
the little book	il libricino
little hand	la manina
handcuff	la manetta
book<br><br>big book	libro<br><br>librone
girl<br><br>big girl	ragazza<br><br>ragazzona
boy<br><br>big boy	ragazzo<br><br>ragazzone
business transaction<br><br>hollow business transaction	affare<br><br>affaraccio
body<br><br>ugly body	corpo<br><br>corpaccio
Sarah<br><br>dear little Sarah	Sara<br><br>Saruccia
rainbow	l’arcobaleno
screwdriver	il cacciavite
capital of a region	il capoluogo
head of a department	il caporeparto
safe (for valuables)	la cassaforte
railroad	la ferrovia
postage stamp	il francobollo
piano	il pianoforte
life jacket	il salvagente
app	app
blog	blog
Facebook	Facebook
file	file
Instagram	Instragram
Internet	Internet
Twitter	Twitter
wiki	wiki
YouTube	YouTube
uploading	caricamento
navigation (of the Web)	navigazione
platform	piattaforma
social netowrk	rete sociale/social network
downloading	scaricaramento
website	sito web
