my	mio
your (fam., sing.)	tuo
his/her, its	suo
your (pol., sing.)	Suo
our	nostro
your (fam., pl.)	vostro
their (invariable)	loro
your (pol., pl., invariable)	Loro
father	il padre
mother	la madre
son	il figlio
daughter	la figlia
brother	il fratello
sister	la sorella
grandfather	il nonno
grandmother	la nonna
uncle	lo zio
aunt	la zia
cousin	il cugino / la cugina
son-in-law	il genero
father-in-law / mother-in-law	il suocero / la suocera
daughter-in-law	la nuora
brother-in-law / sister-in-law	il cognato / la cognata
