bathroom	il bagno
drinking glass	il bicchiere
bottle	la bottiglia
bedroom	la camera
knife	il coltello
teaspoon	il cucchiaino
spoon	il cucchiaio
kitchen	la cucina
fork	la forchetta
living room	l salotto
chair	la sedia
room	la stanza
eating table	la tavola
water	l’acqua
meat	la carne
salad	l’insalata
soup	la minestra
barley	l’orzo
pasta	la pasta
fish (as a food)	il pesce
rice	il riso
grapes	l’uva
sugar	lo zucchero
carrot	la carota
string bean	il fagiolino
bean	il fagiolo
potato	la patata
tomato	il pomodoro
enough	abbastanza
quite a lot, enough	assai
certain	certo
much, a lot	molto
each, every	ogni
several, quite a few, a lot	parecchio
little, few	poco
whichever, any	qualsiasi
whichever, any	qualunque
the same	stesso
much, a lot	tanto
too much	troppo
all	tutto
last	ultimo
