enormous	enorme
happy	felice
precise	preciso
rare	raro
regular	regolare
special	speciale
sad	triste
useful	utile
true	vero
then	allora
also, too	anche
again, still, yet	ancora
as a matter of fact	anzi
just, barely	appena
well	bene
again, anew	di nuovo
tomorrow	domani
until now	finora
in a little while	fra/tra poco
already	già
in a hurry	in fretta
together	insieme
instead	invece
far	lontano
bad(ly)	male
in the meantime	nel frattempo
today	oggi
nowadays	oggigiorno
by now	ormai
by chance	per caso
rather	piuttosto
after, then	poi
early	presto
first	prima
unfortunately	purtroppo
almost	quasi
always	sempre
only	solo
often	spesso
this morning	stamani
this evening	stasera
right away	subito
late	tardi
near(by)	vicino
