to turn on	accendere | acceso
to add	aggiungere | aggiunto
to hang	appendere | appeso
to hire	assumere | assunto
to drink	bere | bevuto
to ask	chiedere | chiesto
to close	chiudere | chiuso
to understand	comprendere | compreso
to confuse	confondere | confuse
to know	conoscere | conosciuto
to convince	convincere | convinto
to correct	correggere | corretto
to run	correre | corso
to cook	cuocere | cotto
to decide	decidere | deciso
to discuss	discutere | discusso
to divide	dividere | diviso
to elect	eleggere | eletto
to read	leggere | letto
to put	mettere | messo
to hide	nascondere | nascosto
to lose	perdere | perso
to cry	piangere | pianto
to take, get	prendere | preso
to promise	promettere | promesso
to laugh	ridere | riso
to answer	rispondere | risposto
to write	scrivere | scritto
to turn off	spegnere | spento
to see	vedere | visto
to win	vincere | vinto
to live	vivere | vissuto
to go	andare | andato
to appear	apparire | apparso
to arrive	arrivare | arrivato
to fall	cadere | caduto
to become	diventare | diventato
to enter	entrare | entrato
to be	essere | stato
to die	morire | morto
to be born	nascere | nato
to depart, leave	partire | partito
to remain	restare | restato
to stay, remain	rimanere | rimasto
to return	ritornare | ritornato
to go up	salire | salito
to go down	scendere | sceso
to stay	stare | stato
to return, come back	tornare | tornato
to go out	uscire | uscito
to come	venire | venuto
to live	vivere | vissuto
comfortable	comodo
once	una volta
spend	trascorrere
summer	estate
trip	viaggio
world	mondo
