to attend	assistere a
to resemble	assomigliare a
to believe in	credere a
to feed	dare da mangiare a
to bother	dare fastidio
to chase	dare la caccia a
to bother	dare noia a
to listen to	dare retta a
to blame	dare torto a
to kick	dare un calcio a
to punch	dare un pugno a
to pay attention	fare attenzione a
to be good (bad)	fare bene (male) a
to please	fare piacere a
to show	far vedere a
to visit	fare visita a
to give a present to	fare un regalo a
to play a game	giocare a
to be interested in	interessarsi a
to participate in	partecipare a
to think about	pensare a
to ask favors of	raccomandarsi a
to remind	ricordare a
to give up	rinunciare a
to be good for	servire a
to shake hands with	stringere la mano a
to care about	tenere a
to get used to	abituarsi a
to hurry	affrettarsi a
to help	aiutare a
to begin	cominciare a
to continue	continuare a
to convince	convincere a
to compel	costringere a
to decide	decidersi a
to have fun	divertirsi a
to be better off	fare meglio a
to do fast	fare presto a
to learn	imparare a
to encourage	incoraggiare a
to teach	insegnare a
to invite to	invitare a
to send	mandare a
to oblige	obbligare a
to think about	pensare a
to convince	persuadere a
to prepare	preparare a
to try	provare a
to give up	rinunciare a
to resume	riprendere a
to succeed	riuscire a
to hurry	sbrigarsi a
to be good for	servire a
to go	andare a
to run	correre a
to stop	fermarsi a
to stop by	passare a
to stay	stare a
to return	tornare a
to come	venire a
to notice, realize	accorgersi di
to need	avere bisogno di
to be afraid	avere paura di
to forget	dimenticarsi di
to trust	fidarsi di
to fall in love	innamorarsi di
to be interested in	interessarsi di
to complain	lamentarsi di
to be surprised	meravigliarsi di
to feed on	nutrirsi di
to plan	occuparsi di
to think about	pensare di
to worry about	preoccuparsi di
to remember	ricordarsi di
to laugh at	ridere di
to suffer from	soffrire di
to deal with	trattare di
to live on	vivere di
to notice, accept	accettare di
to need	ammettere di
to wait for	aspettare di
to wish	augurare di
to need	avere bisogno di
to try	cercare di
to ask	chiedere di
to confess	confessare di
to advise	consigliare di
to plan	contare di
to believe	credere di
to decide	decidere di
to forget	dimenticare di
to doubt	dubitare di
to pretend	fingere di
to finish	finire di
to order	ordinare di
to plan	pensare di
to permit	permettere di
to beg	pregare di
to prohibit	proibire di
to promise	promettere di
to propose	proporre di
to thank	ringraziare di
to know	sapere di
to stop	smettere di
to hope	sperare di
to suggest	suggerire di
to attempt	tentare di
to avoid	vietare di
to count on	contare su
to swear on	giurare su
to reflect on	riflettere su
to bet on	scommettere su
to love	amare
to wish	desiderare
to have to, must	dovere
to make, do	fare
to appreciate	gradire
to let, allow	lasciare
to like	piacere
to be able	potere
to prefer	preferire
to know how	sapere
to want	volere
