open | openly	FEMININE ADJECTIVE | ADVERB<br><br>aperta | apertamente
brilliant | brilliantly	brillante | brillantemente
certain | certainly	certa | certamente
strong | strongly	forte | fortemente
fortunate | fortunately	fortunata | fortunatamente
generous | generously	generosa | generosamente
rare | rarely	rara | raramente
unfortunate | unfortunately	sfortunata | sfortunatamente
agile | agilely	FEMININE ADJECTIVE | ADVERB<br><br>agile | agilmente 
banal | banally	banale | banalmente
casual | casually	casuale | casualmente
general | generally	generale | generalmente
regular | regularly	regolare | regolarmente
facedown	a bocconi
on all fours	a carponi
astride	a cavalcioni
hanging	a penzoloni
clearly	chiaro
slowly	piano
dark	scuro
hard	sodo 
crookedly	storto 
well, fine	bene 
so	così
together	insieme
in vain	invano
badly	male
willingly	volentieri
in front 	davanti
inside 	dentro
outside 	fuori
around 	intorno
further	oltre
up here	quassù
on (top)	sopra
underneath	sotto
near	vicino
on the right 	a destra
on the left	a sinistra
from far away 	da lontano
this way	di quì
under	di sotto
in the surroundings	nei dintorni
that way	per di là
now	adesso
again	ancora
tomorrow	domani
after	dopo
already	già
never	giammai
yesterday	ieri
never	mai
now	ora
by now	ormai
later, then	poi
recently	recentemente
always	sempre
often	sovente
right away	subito
late	tardi
once in a while 	di quando in quando
usually 	di solito
for good	per sempre
some time ago	tempo fa
once	una volta
enough	abbastanza
at least	almeno
just	appena
very much	assai
about	circa
much, several	parecchio
more	più
a little	poco
almost	quasi
a lot, much	tanto
too much	troppo
a lot	a bizzeffa
about	all’incirca
less	di meno
more	di più
about	press’a poco
more or less	su per giù
certainly	certamente
sure	certo
exactly	esattamente
really	proprio
yes	sì
surely	sicuramente
not even	neanche
not even	nemmeno
neither	neppure
no	no
not	non
about	circa
eventually	eventualmente
maybe	forse
maybe	magari
possibly	possibilmente
presumably	presumibilmente
probably	probabilmente
how, what	come
where	dove
why	perchè
when	quando
how much	quanto
