I, me, me	SUBJECT PRONOUNS / STRONG PRONOUNS / WEAK PRONOUNS<br><br>io | me | mi
you, you, you (sing.)	tu | te | ti
he, him, him (it)	lui | lui | lo
she, her, her (it)	lei | sè | la
we, us, us	noi | noi | ci
you, you, your (pl.)	voi | voi | vi
they, them, them	loro | loro | li/le
I	io
you (sing.)	tu
he	lui
she	lei
you	Lei
we	noi
you (plur.)	voi
they	loro
you (formal)	Loro
myself	mi
yourself (sing.)	ti
himself	si
herself	si
yourself	si
ourselves	ci
yourselves (plur.)	vi
themselves	si
yourselves (formal)	si
