a book 	un libro 
a friend	un amico 
uncle 	uno zio 
psychologist 	uno psicologo 
type of pasta	uno gnocco 
student	uno studente 
yoghurt	uno yoghurt
music	una musica 
female student	una studentessa 
air	un’aria (f.)
car	un’automobile (f.)
a pretty friend	un’amica una bella amica 
a strange book	un libro uno strano libro 
singer | singers	il cantante | i cantanti
violin | violins	il violin | i violini
student (m.)	lo student
uncle | uncles	lo zio | gli zii
yoghurt	lo yoghurt
spaghetti	gli spaghetti
iodine	lo iodio
gnocci	gli gnocchi
psychologists	gli psicologi
the United States	gli Stati Uniti
friend | friends	l’amico | gli amici
tree | trees	l’albero | gli alberi
sister | sisters	la sorella | le sorelle
mathematics	la matematica 
student (f.)	le studentesse
friend (f.) | friends (f.)	l’amica | le amiche
America | Americas	l’America | le Americhe
fear	la paura 
thirst	la sete 
need	il bisogno
wood 	il legno 
water	l’acqua 
air	l’aria 
iron	il ferro
life 	la vita 
mankind	l’uomo 
flowers	i fiori 
tomatoes	i pomodori 
violinists	i violinisti
